,County,Retail_Recreation,Grocery_Pharmacy,Parks,Transit,Workplace,Residential,State
22,Casey County,+7%,+15%,,,-49%,,Kentucky
23,Christian County,-30%,+4%,,-25%,-28%,+21%,Kentucky
24,Clark County,-32%,-16%,,,-33%,+12%,Kentucky
25,Clay County,+8%,+2%,,,-36%,,Kentucky
26,Clinton County,,,,,-33%,,Kentucky
27,Crittenden County,-19%,+6%,,,-46%,,Kentucky
28,Daviess County,-48%,+0%,+26%,,-29%,+11%,Kentucky
29,Edmonson County,,,,,-50%,,Kentucky
30,Estill County,-15%,-4%,,,-48%,,Kentucky
31,Fayette County,-49%,-1%,+5%,-33%,-40%,+12%,Kentucky
32,Fleming County,-7%,+13%,,,-46%,,Kentucky
33,Floyd County,-17%,-5%,,,-17%,,Kentucky
34,Franklin County,-35%,-3%,,,-37%,+24%,Kentucky
35,Fulton County,-24%,+6%,,,-44%,,Kentucky
36,Gallatin County,,+58%,,-89%,-46%,,Kentucky
37,Garrard County,-10%,+19%,,,-33%,,Kentucky
38,Grant County,-26%,-7%,,,-38%,+1%,Kentucky
39,Graves County,-25%,+4%,,,-26%,+10%,Kentucky
40,Grayson County,-12%,+24%,,,-32%,,Kentucky
41,Green County,,,,,-48%,,Kentucky
42,Greenup County,-31%,+7%,,,-28%,+1%,Kentucky
43,Hancock County,,,,,-49%,,Kentucky
44,Hardin County,-42%,-2%,,-32%,-38%,+11%,Kentucky
45,Harlan County,-10%,+15%,,,-13%,,Kentucky
46,Harrison County,-17%,-14%,,,-24%,,Kentucky
47,Hart County,+2%,+14%,,-38%,-16%,,Kentucky
48,Henderson County,-39%,+55%,,,-29%,+19%,Kentucky
49,Henry County,-37%,+23%,,-35%,-41%,,Kentucky
50,Hopkins County,-38%,-3%,,-40%,-26%,+16%,Kentucky
51,Jackson County,,,,,-46%,,Kentucky
52,Jefferson County,-44%,+5%,+104%,-27%,-40%,+12%,Kentucky
53,Jessamine County,-40%,-9%,,-15%,-28%,+20%,Kentucky
54,Johnson County,-40%,+62%,,,-30%,,Kentucky
55,Kenton County,-37%,+3%,+37%,-9%,-37%,+13%,Kentucky
56,Knott County,,,,,-43%,,Kentucky
57,Knox County,-23%,+13%,,,-25%,,Kentucky
58,Larue County,-24%,+12%,,,-30%,,Kentucky
59,Laurel County,-41%,+3%,+57%,-61%,-32%,+17%,Kentucky
60,Lawrence County,-28%,-28%,,,-27%,,Kentucky
61,Letcher County,-25%,+0%,,,-43%,,Kentucky
62,Lewis County,,-14%,,,-37%,,Kentucky
63,Lincoln County,-12%,+38%,,,-22%,,Kentucky
64,Livingston County,,+17%,,,-37%,,Kentucky
65,Logan County,-17%,+12%,,,-27%,,Kentucky
66,Lyon County,-43%,,,,-47%,,Kentucky
67,Madison County,-41%,-3%,,-17%,-39%,+10%,Kentucky
68,Marion County,-24%,+3%,,,-39%,,Kentucky
69,Marshall County,-33%,+5%,,-31%,-23%,+9%,Kentucky
70,Mason County,-26%,,,,-26%,,Kentucky
71,McCracken County,-51%,-8%,-25%,-26%,-30%,+19%,Kentucky
72,McCreary County,-14%,+15%,,,-39%,,Kentucky
73,McLean County,,,,,-45%,,Kentucky
74,Meade County,-20%,+8%,,,-38%,+8%,Kentucky
75,Menifee County,,,,,-46%,,Kentucky
76,Mercer County,-26%,-9%,,,-35%,,Kentucky
77,Metcalfe County,,-16%,,,-47%,,Kentucky
78,Monroe County,-7%,,,,-34%,,Kentucky
79,Montgomery County,-30%,+10%,,-22%,-34%,-3%,Kentucky
80,Morgan County,-59%,,,,-48%,,Kentucky
81,Muhlenberg County,-27%,+15%,,,-25%,,Kentucky
82,Nelson County,-32%,+5%,,,-37%,+18%,Kentucky
83,Nicholas County,,,,,-45%,,Kentucky
84,Ohio County,-23%,+29%,,-45%,-20%,,Kentucky
85,Oldham County,-30%,+19%,,,-30%,+25%,Kentucky
86,Owen County,,,,,-52%,,Kentucky
87,Pendleton County,+0%,-12%,,,-25%,,Kentucky
88,Perry County,-37%,-5%,,,-23%,,Kentucky
89,Pike County,-46%,-22%,,,-21%,,Kentucky
90,Powell County,+0%,-2%,,,-43%,,Kentucky
91,Pulaski County,-39%,-9%,,,-33%,+19%,Kentucky
92,Rockcastle County,-43%,-4%,,,-24%,,Kentucky
93,Rowan County,-30%,+8%,,,-27%,,Kentucky
94,Russell County,-20%,+23%,,,-45%,,Kentucky
95,Scott County,-39%,-13%,,-43%,-41%,+27%,Kentucky
96,Shelby County,-43%,+11%,,-31%,-43%,+20%,Kentucky
97,Simpson County,-29%,-2%,,-38%,-38%,,Kentucky
98,Spencer County,-20%,+6%,,,-31%,,Kentucky
99,Taylor County,-28%,+28%,,,-26%,,Kentucky
100,Todd County,-52%,+15%,,,-51%,,Kentucky
101,Trigg County,-33%,+17%,,,-50%,,Kentucky
102,Trimble County,,,,,-50%,,Kentucky
103,Union County,-23%,+6%,,,-56%,,Kentucky
104,Warren County,-45%,-13%,-43%,-14%,-37%,+12%,Kentucky
105,Washington County,-29%,,,,-59%,,Kentucky
106,Wayne County,-11%,-11%,,,-32%,,Kentucky
107,Webster County,-34%,+10%,,,-34%,,Kentucky
108,Whitley County,-38%,+6%,,-14%,-27%,-3%,Kentucky
109,Wolfe County,,,,,-49%,,Kentucky
0,Acadia Parish,-31%,+23%,,-52%,-28%,+12%,Louisiana
1,Allen Parish,-35%,-10%,,,-38%,,Louisiana
2,Ascension Parish,-46%,+4%,,,-36%,+15%,Louisiana
3,Assumption Parish,,-3%,,,-31%,,Louisiana
4,Avoyelles Parish,-16%,+5%,,,-27%,-2%,Louisiana
5,Beauregard Parish,-27%,-7%,,,-33%,+3%,Louisiana
6,Bienville Parish,-44%,-8%,,,-40%,,Louisiana
7,Bossier Parish,-57%,-8%,-13%,-53%,-41%,+15%,Louisiana
8,Caddo Parish,-42%,+0%,-43%,-46%,-36%,+13%,Louisiana
9,Calcasieu Parish,-42%,-9%,-31%,-51%,-33%,+14%,Louisiana
10,Caldwell Parish,-13%,,,,-43%,,Louisiana
11,Cameron Parish,,+10%,,,-48%,,Louisiana
12,Catahoula Parish,-64%,-24%,,,-44%,,Louisiana
13,Claiborne Parish,-41%,-14%,,,-41%,,Louisiana
14,Concordia Parish,-24%,-16%,,,-30%,,Louisiana
15,De Soto Parish,-22%,-12%,,-35%,-23%,,Louisiana
16,East Baton Rouge Parish,-48%,+3%,-28%,-43%,-36%,+14%,Louisiana
17,East Feliciana Parish,-23%,-3%,,,-58%,,Louisiana
18,Evangeline Parish,-36%,+1%,,,-28%,,Louisiana
19,Franklin Parish,-25%,+3%,,,-20%,,Louisiana
20,Grant Parish,,+17%,,,-20%,,Louisiana
21,Iberia Parish,-27%,+7%,-28%,,-27%,+21%,Louisiana
22,Iberville Parish,-24%,+0%,,-49%,-37%,,Louisiana
23,Jackson Parish,-21%,-5%,,,-44%,,Louisiana
24,Jefferson Davis Parish,-52%,-7%,,-53%,-30%,-1%,Louisiana
25,Jefferson Parish,-50%,-5%,-35%,-85%,-45%,+17%,Louisiana
26,La Salle Parish,-36%,+2%,,,-41%,,Louisiana
27,Lafayette Parish,-48%,-4%,-21%,-40%,-36%,+14%,Louisiana
28,Lafourche Parish,-31%,+2%,,-54%,-29%,+22%,Louisiana
29,Lincoln Parish,-60%,+2%,,-39%,-33%,+9%,Louisiana
30,Livingston Parish,-37%,+9%,-32%,-35%,-34%,+12%,Louisiana
31,Madison Parish,-14%,+6%,,-50%,-36%,,Louisiana
32,Morehouse Parish,-20%,-9%,,,-25%,,Louisiana
33,Natchitoches Parish,-38%,-16%,,,-32%,+6%,Louisiana
34,Orleans Parish,-72%,-26%,-62%,-56%,-53%,+19%,Louisiana
35,Ouachita Parish,-45%,-1%,-7%,-38%,-30%,+11%,Louisiana
36,Plaquemines Parish,-35%,-14%,-33%,,-46%,,Louisiana
37,Pointe Coupee Parish,-18%,-3%,,,-9%,,Louisiana
38,Rapides Parish,-39%,+0%,-39%,-53%,-27%,+11%,Louisiana
39,Red River Parish,-58%,,,,-40%,,Louisiana
40,Richland Parish,-28%,+1%,,-36%,-17%,,Louisiana
41,Sabine Parish,-23%,-15%,,,-23%,,Louisiana
42,St. Bernard Parish,-27%,+23%,-19%,,-42%,+20%,Louisiana
43,St. Charles Parish,-45%,+20%,,-41%,-38%,+24%,Louisiana
44,St. Helena Parish,,-20%,,,-58%,,Louisiana
45,St. James Parish,-13%,-4%,,,-29%,,Louisiana
46,St. John the Baptist Parish,-37%,-1%,-62%,-57%,-38%,+21%,Louisiana
47,St. Landry Parish,-38%,+20%,,-38%,-26%,+20%,Louisiana
48,St. Martin Parish,-41%,+14%,-16%,-46%,-36%,+15%,Louisiana
49,St. Mary Parish,-34%,-8%,,-57%,-41%,+13%,Louisiana
50,St. Tammany Parish,-45%,+2%,-15%,-32%,-35%,+14%,Louisiana
51,Tangipahoa Parish,-31%,+5%,-20%,-39%,-31%,+13%,Louisiana
52,Terrebonne Parish,-47%,+0%,-8%,-49%,-37%,+14%,Louisiana
53,Union Parish,-28%,+13%,,,-24%,,Louisiana
54,Vermilion Parish,-39%,+12%,,,-27%,+12%,Louisiana
55,Vernon Parish,-31%,-10%,,,-26%,+20%,Louisiana
56,Washington Parish,-29%,+18%,,,-22%,+2%,Louisiana
57,Webster Parish,-28%,-9%,,-40%,-35%,+13%,Louisiana
58,West Baton Rouge Parish,-44%,+15%,,-54%,-34%,,Louisiana
59,West Carroll Parish,-16%,-2%,,,-47%,,Louisiana
60,West Feliciana Parish,-69%,-19%,,,-60%,,Louisiana
0,Androscoggin County,-41%,+4%,-33%,,-31%,+10%,Maine
1,Aroostook County,-43%,+9%,-37%,,-23%,+24%,Maine
2,Cumberland County,-54%,-22%,+30%,-65%,-40%,+14%,Maine
3,Franklin County,-35%,-13%,-50%,,-33%,+0%,Maine
4,Hancock County,-36%,-25%,+0%,,-27%,+18%,Maine
5,Kennebec County,-38%,+2%,-47%,-43%,-30%,+8%,Maine
6,Knox County,-38%,-24%,,,-30%,+11%,Maine
7,Lincoln County,-52%,-20%,,,-29%,+6%,Maine
8,Oxford County,-43%,+2%,-19%,,-36%,+15%,Maine
9,Penobscot County,-42%,-3%,-27%,-50%,-33%,+6%,Maine
10,Piscataquis County,-45%,-17%,,,-28%,,Maine
11,Sagadahoc County,-40%,-8%,,,-36%,+13%,Maine
12,Somerset County,-30%,+7%,-31%,,-26%,+7%,Maine
13,Waldo County,-43%,-28%,,,-28%,+13%,Maine
14,Washington County,-50%,-19%,,,-25%,,Maine
0,Allegany County,-41%,-6%,-55%,-39%,-30%,+20%,Maryland
1,Anne Arundel County,-47%,-19%,+25%,-80%,-41%,+15%,Maryland
2,Baltimore,-44%,-12%,+26%,-31%,-36%,+13%,Maryland
3,Baltimore County,-41%,+0%,+63%,-32%,-37%,+15%,Maryland
4,Calvert County,-33%,-10%,+16%,,-36%,+28%,Maryland
5,Caroline County,-35%,-8%,,,-28%,+17%,Maryland
6,Carroll County,-38%,-15%,+66%,-61%,-36%,+15%,Maryland
7,Cecil County,-23%,-17%,+66%,-59%,-32%,+12%,Maryland
8,Charles County,-38%,-7%,-42%,-30%,-39%,+15%,Maryland
9,Dorchester County,-25%,-5%,,,-25%,+13%,Maryland
10,Frederick County,-48%,-19%,+36%,-24%,-38%,+15%,Maryland
11,Garrett County,-42%,-6%,,-35%,-30%,-1%,Maryland
12,Harford County,-39%,-10%,+99%,-61%,-35%,+14%,Maryland
13,Howard County,-55%,-35%,+28%,-32%,-46%,+18%,Maryland
14,Kent County,-38%,-18%,,,-22%,,Maryland
15,Montgomery County,-53%,-28%,+32%,-53%,-46%,+19%,Maryland
16,Prince George's County,-39%,-19%,+14%,-49%,-40%,+17%,Maryland
17,Queen Anne's County,-48%,-24%,-28%,,-33%,+23%,Maryland
18,Somerset County,-21%,-5%,,,-26%,,Maryland
19,St. Mary's County,-39%,+3%,-1%,,-33%,+13%,Maryland
20,Talbot County,-33%,-9%,,,-32%,+8%,Maryland
21,Washington County,-42%,-6%,+64%,-25%,-33%,+12%,Maryland
22,Wicomico County,-45%,-16%,,-50%,-37%,+13%,Maryland
0,Barnstable County,-43%,-7%,+93%,-40%,-38%,+13%,Massachusetts
1,Berkshire County,-43%,-6%,-24%,-63%,-36%,+13%,Massachusetts
2,Bristol County,-40%,+0%,+49%,-33%,-38%,+14%,Massachusetts
3,Dukes County,-80%,-36%,,-44%,-51%,,Massachusetts
4,Essex County,-47%,-15%,+59%,-38%,-46%,+16%,Massachusetts
5,Franklin County,-43%,-7%,-37%,-55%,-37%,+25%,Massachusetts
6,Hampden County,-44%,+1%,+39%,-40%,-39%,+13%,Massachusetts
7,Hampshire County,-52%,-9%,+22%,-45%,-41%,+14%,Massachusetts
8,Middlesex County,-55%,-19%,+25%,-60%,-47%,+17%,Massachusetts
9,Nantucket County,-70%,-35%,,,-54%,,Massachusetts
10,Norfolk County,-53%,-11%,+87%,-46%,-45%,+17%,Massachusetts
11,Plymouth County,-41%,-3%,+101%,-36%,-38%,+15%,Massachusetts
12,Suffolk County,-66%,-19%,-26%,-76%,-55%,+20%,Massachusetts
0,Alcona County,+1%,,,,-50%,,Michigan
1,Alger County,-79%,-45%,-14%,,-62%,,Michigan
2,Allegan County,-49%,-4%,,-51%,-41%,+15%,Michigan
3,Alpena County,-50%,-10%,,,-34%,+3%,Michigan
4,Antrim County,-73%,-8%,,,-43%,,Michigan
5,Arenac County,-28%,+13%,,,-35%,,Michigan
6,Baraga County,,-44%,,,-63%,,Michigan
7,Barry County,-48%,+18%,,,-37%,+29%,Michigan
8,Bay County,-59%,-11%,-23%,,-41%,+14%,Michigan
9,Benzie County,-23%,-3%,,,-33%,,Michigan
10,Berrien County,-45%,-2%,+123%,-35%,-37%,+12%,Michigan
11,Branch County,-55%,-10%,,,-40%,+21%,Michigan
12,Calhoun County,-51%,-8%,+30%,-44%,-41%,+13%,Michigan
13,Cass County,-38%,+3%,,,-32%,+25%,Michigan
14,Charlevoix County,-46%,-22%,+25%,,-43%,,Michigan
15,Cheboygan County,-45%,-7%,,,-38%,,Michigan
16,Chippewa County,-63%,+21%,-50%,,-40%,+2%,Michigan
17,Clare County,-63%,+4%,,,-30%,+9%,Michigan
18,Clinton County,-58%,-18%,,-50%,-41%,+30%,Michigan
19,Crawford County,-47%,-34%,,,-35%,,Michigan
20,Delta County,-51%,-14%,,,-34%,+9%,Michigan
21,Dickinson County,-38%,-13%,,,-29%,+0%,Michigan
22,Eaton County,-58%,-22%,,,-37%,+15%,Michigan
23,Emmet County,-67%,-28%,,,-49%,+1%,Michigan
24,Genesee County,-55%,-10%,+94%,-45%,-46%,+15%,Michigan
25,Gladwin County,-54%,-2%,,,-38%,+0%,Michigan
26,Gogebic County,-41%,-33%,,,-41%,,Michigan
27,Grand Traverse County,-65%,-26%,+80%,-74%,-44%,+13%,Michigan
28,Gratiot County,-47%,-7%,,,-31%,+18%,Michigan
29,Hillsdale County,-51%,-15%,,,-41%,+22%,Michigan
30,Houghton County,-64%,-18%,-29%,,-39%,+3%,Michigan
31,Huron County,-38%,-5%,,,-32%,+0%,Michigan
32,Ingham County,-63%,-22%,+104%,-53%,-40%,+15%,Michigan
33,Ionia County,-48%,+1%,,-47%,-34%,+28%,Michigan
34,Iosco County,-50%,+28%,,,-37%,,Michigan
35,Iron County,-34%,-9%,,,-44%,,Michigan
36,Isabella County,-65%,-25%,,,-44%,+28%,Michigan
37,Jackson County,-54%,-9%,-7%,-43%,-39%,+14%,Michigan
38,Kalamazoo County,-60%,-20%,+100%,-60%,-40%,+15%,Michigan
39,Kalkaska County,-50%,-5%,,,-42%,,Michigan
40,Kent County,-64%,-20%,+61%,-54%,-44%,+16%,Michigan
41,Lake County,-43%,+10%,,,-51%,,Michigan
42,Lapeer County,-52%,-18%,-32%,,-48%,+31%,Michigan
43,Leelanau County,-64%,-33%,,,-47%,,Michigan
44,Lenawee County,-54%,-11%,,,-43%,+15%,Michigan
45,Livingston County,-64%,-13%,+19%,,-48%,+17%,Michigan
46,Luce County,-67%,,,,,,Michigan
47,Mackinac County,-75%,-37%,,,-60%,,Michigan
48,Macomb County,-58%,-14%,+125%,-32%,-53%,+18%,Michigan
49,Manistee County,-53%,-12%,,,-31%,,Michigan
50,Marquette County,-64%,-16%,+1%,,-33%,+26%,Michigan
51,Mason County,-53%,-11%,,,-38%,+7%,Michigan
52,Mecosta County,-48%,+1%,,,-29%,+20%,Michigan
53,Menominee County,-34%,-18%,,,-29%,,Michigan
54,Midland County,-56%,-9%,-14%,,-38%,+30%,Michigan
55,Missaukee County,-37%,,,,-30%,,Michigan
56,Monroe County,-57%,-9%,+58%,-31%,-38%,+15%,Michigan
57,Montcalm County,-39%,+8%,,,-32%,+27%,Michigan
58,Montmorency County,-54%,-12%,,,-50%,,Michigan
59,Muskegon County,-53%,-8%,+136%,,-42%,+13%,Michigan
60,Newaygo County,-37%,+18%,+88%,,-32%,+25%,Michigan
61,Oakland County,-66%,-22%,+63%,-42%,-52%,+18%,Michigan
62,Oceana County,-46%,+17%,+9%,,-34%,-1%,Michigan
63,Ogemaw County,-47%,+0%,,,-31%,,Michigan
64,Ontonagon County,-46%,,,,,,Michigan
65,Osceola County,-46%,+10%,,,-34%,,Michigan
66,Oscoda County,-28%,-14%,,,-55%,,Michigan
67,Otsego County,-67%,-37%,,,-44%,-1%,Michigan
68,Ottawa County,-55%,-20%,+176%,-11%,-45%,+16%,Michigan
69,Presque Isle County,-64%,-4%,,,-47%,,Michigan
70,Roscommon County,-55%,+30%,-33%,,-37%,,Michigan
71,Saginaw County,-63%,-16%,-14%,-58%,-44%,+15%,Michigan
72,Sanilac County,-46%,-13%,,,-36%,+12%,Michigan
73,Schoolcraft County,-80%,-32%,-22%,,-51%,,Michigan
74,Shiawassee County,-47%,-5%,,,-43%,+28%,Michigan
75,St. Clair County,-54%,-15%,+27%,-44%,-46%,+15%,Michigan
76,St. Joseph County,-40%,-19%,,,-38%,+27%,Michigan
77,Tuscola County,-41%,-18%,,,-38%,+27%,Michigan
78,Van Buren County,-41%,+4%,,,-35%,+26%,Michigan
79,Washtenaw County,-63%,-38%,+115%,-46%,-53%,+17%,Michigan
80,Wayne County,-57%,-11%,+36%,-55%,-48%,+17%,Michigan
0,Aitkin County,-47%,-35%,-58%,,-33%,,Minnesota
1,Anoka County,-36%,+2%,+118%,-9%,-36%,+14%,Minnesota
2,Becker County,-57%,+62%,,,-36%,+16%,Minnesota
3,Beltrami County,-39%,+3%,-38%,,-30%,+22%,Minnesota
4,Benton County,-35%,+5%,,,-33%,+21%,Minnesota
5,Big Stone County,,,,,-35%,,Minnesota
6,Blue Earth County,-57%,-10%,-26%,,-32%,+23%,Minnesota
7,Brown County,-29%,-21%,,,-16%,+9%,Minnesota
8,Carlton County,-27%,-14%,,,-27%,+11%,Minnesota
9,Carver County,-37%,+1%,+46%,,-33%,+28%,Minnesota
10,Cass County,-60%,-4%,-11%,,-33%,+0%,Minnesota
11,Chippewa County,-19%,,,,-22%,,Minnesota
12,Chisago County,-43%,+3%,-33%,,-32%,+24%,Minnesota
13,Clay County,-37%,+0%,,,-35%,+25%,Minnesota
14,Clearwater County,-72%,-28%,,,-47%,,Minnesota
15,Cook County,-64%,-58%,,,-54%,,Minnesota
16,Cottonwood County,-46%,,,,-52%,,Minnesota
17,Crow Wing County,-42%,+0%,+14%,,-39%,+20%,Minnesota
18,Dakota County,-42%,-4%,+90%,-11%,-38%,+14%,Minnesota
19,Dodge County,-46%,-17%,,,-27%,+4%,Minnesota
20,Douglas County,-39%,-20%,-47%,-28%,-27%,+22%,Minnesota
21,Faribault County,-31%,-10%,,,-14%,,Minnesota
22,Fillmore County,-52%,-7%,,,-21%,,Minnesota
23,Freeborn County,-27%,-4%,,-20%,-30%,+18%,Minnesota
24,Goodhue County,-25%,+13%,-20%,,-34%,+21%,Minnesota
25,Grant County,,,,,-38%,,Minnesota
26,Hennepin County,-53%,-6%,+65%,-65%,-43%,+16%,Minnesota
27,Houston County,-78%,-11%,,,-30%,,Minnesota
28,Hubbard County,-35%,-4%,,,-42%,,Minnesota
29,Isanti County,-26%,+14%,-36%,,-24%,+20%,Minnesota
30,Itasca County,-39%,-4%,,,-31%,+19%,Minnesota
31,Jackson County,-77%,,,,-46%,,Minnesota
32,Kanabec County,-34%,-12%,,,-40%,,Minnesota
33,Kandiyohi County,-35%,-7%,,,-20%,+20%,Minnesota
34,Koochiching County,-46%,-18%,,,-29%,,Minnesota
35,Lac qui Parle County,,,,,-36%,,Minnesota
36,Lake County,-43%,-16%,+25%,,-42%,,Minnesota
37,Lake of the Woods County,-71%,,,,,,Minnesota
38,Le Sueur County,-1%,-4%,,,-26%,+18%,Minnesota
39,Lincoln County,,,,,-40%,,Minnesota
40,Lyon County,-39%,-12%,,,-26%,+4%,Minnesota
41,Mahnomen County,,,,,-60%,,Minnesota
42,Marshall County,,,,,-49%,,Minnesota
43,Martin County,-45%,-16%,,,-13%,,Minnesota
44,McLeod County,-32%,-14%,,,-22%,+21%,Minnesota
45,Meeker County,-31%,-17%,,,-21%,+3%,Minnesota
46,Mille Lacs County,-30%,+4%,,,-32%,+11%,Minnesota
47,Morrison County,-37%,-17%,-61%,,-28%,+14%,Minnesota
48,Mower County,-35%,+5%,,,-17%,+20%,Minnesota
49,Murray County,-70%,,,,-39%,,Minnesota
50,Nicollet County,-47%,-10%,,,-34%,+20%,Minnesota
51,Nobles County,-33%,-3%,,-49%,-45%,,Minnesota
52,Norman County,,,,,-38%,,Minnesota
53,Olmsted County,-50%,-1%,+107%,-29%,-37%,+14%,Minnesota
54,Otter Tail County,-41%,+0%,-9%,,-26%,+20%,Minnesota
55,Pennington County,-35%,-23%,,,-49%,,Minnesota
56,Pine County,-41%,+9%,-47%,,-46%,+10%,Minnesota
57,Pipestone County,-29%,-20%,,,-33%,,Minnesota
58,Polk County,-52%,-19%,,,-32%,+15%,Minnesota
59,Pope County,-55%,,,,-39%,,Minnesota
60,Ramsey County,-54%,-3%,+26%,-25%,-39%,+15%,Minnesota
61,Red Lake County,,,,,-37%,,Minnesota
62,Redwood County,-41%,-16%,,,-30%,,Minnesota
63,Renville County,-77%,,,,-22%,,Minnesota
64,Rice County,-31%,+14%,+2%,-19%,-38%,+21%,Minnesota
65,Rock County,-41%,,,,-40%,,Minnesota
66,Roseau County,-73%,-23%,,,-52%,,Minnesota
67,Scott County,-40%,-6%,+83%,,-40%,+15%,Minnesota
68,Sherburne County,-26%,+8%,-42%,,-32%,+24%,Minnesota
69,Sibley County,-71%,,,,-11%,,Minnesota
70,St. Louis County,-51%,-8%,+32%,-36%,-36%,+14%,Minnesota
71,Stearns County,-48%,-2%,-19%,-53%,-34%,+13%,Minnesota
72,Steele County,-40%,+22%,-37%,-47%,-33%,+22%,Minnesota
73,Stevens County,-48%,-4%,,,-33%,,Minnesota
74,Swift County,-38%,-15%,,,-41%,,Minnesota
75,Todd County,-23%,-7%,,,-35%,+3%,Minnesota
76,Wabasha County,-59%,+13%,,,-31%,,Minnesota
77,Wadena County,-40%,-8%,,,-38%,,Minnesota
78,Waseca County,-25%,-9%,,,-23%,,Minnesota
79,Washington County,-41%,-7%,+136%,-7%,-38%,+15%,Minnesota
80,Watonwan County,-51%,,,,-12%,,Minnesota
81,Wilkin County,,,,,-38%,,Minnesota
82,Winona County,-36%,-4%,,-54%,-31%,+24%,Minnesota
83,Wright County,-39%,+7%,+79%,,-31%,+14%,Minnesota
0,Adams County,-36%,-14%,,,-29%,,Mississippi
1,Alcorn County,-40%,-13%,,,-31%,+1%,Mississippi
2,Amite County,-50%,-31%,,,-35%,,Mississippi
3,Attala County,-27%,-11%,,,-37%,,Mississippi
4,Benton County,,,,,-45%,,Mississippi
5,Bolivar County,-29%,-16%,,,-24%,,Mississippi
6,Calhoun County,-63%,-30%,,,-53%,,Mississippi
7,Carroll County,,,,,-48%,,Mississippi
8,Chickasaw County,-41%,-25%,,,-37%,,Mississippi
9,Claiborne County,-66%,,,,-28%,,Mississippi
10,Clarke County,-18%,-10%,,,-46%,,Mississippi
11,Clay County,-43%,-3%,,-44%,-23%,,Mississippi
12,Coahoma County,-37%,-8%,,,-36%,,Mississippi
13,Copiah County,-35%,-8%,,,-24%,,Mississippi
14,Covington County,-43%,-28%,,,-20%,,Mississippi
15,DeSoto County,-38%,+7%,+3%,-35%,-35%,+12%,Mississippi
16,Forrest County,-45%,+5%,,-33%,-30%,+19%,Mississippi
17,George County,-55%,+25%,,,-29%,,Mississippi
18,Greene County,,-6%,,,-47%,,Mississippi
19,Grenada County,-20%,-14%,,,-30%,,Mississippi
20,Hancock County,-33%,+5%,,,-40%,+16%,Mississippi
21,Harrison County,-44%,-5%,-3%,-46%,-45%,+14%,Mississippi
22,Hinds County,-32%,+8%,-24%,-19%,-27%,+10%,Mississippi
23,Holmes County,-55%,-6%,,,-51%,,Mississippi
24,Humphreys County,,+9%,,,-40%,,Mississippi
25,Itawamba County,-44%,-8%,,,-33%,,Mississippi
26,Jackson County,-33%,-5%,-27%,-50%,-43%,+14%,Mississippi
27,Jasper County,-55%,-8%,,,-40%,,Mississippi
28,Jefferson County,,,,,-35%,,Mississippi
29,Jefferson Davis County,,+16%,,,-51%,,Mississippi
30,Jones County,-26%,+8%,,-47%,-31%,+17%,Mississippi
31,Kemper County,,,,,-45%,,Mississippi
32,Lafayette County,-50%,-28%,,,-41%,+10%,Mississippi
33,Lamar County,-55%,-9%,,-49%,-30%,+17%,Mississippi
34,Lauderdale County,-42%,-6%,-10%,-40%,-32%,+18%,Mississippi
35,Lawrence County,,-18%,,,-40%,,Mississippi
36,Leake County,-41%,-35%,,,-33%,,Mississippi
37,Lee County,-53%,-8%,,-37%,-37%,+23%,Mississippi
38,Leflore County,-25%,-7%,,,-24%,,Mississippi
39,Lincoln County,-32%,-18%,,,-26%,,Mississippi
40,Lowndes County,-43%,+29%,,-43%,-27%,+17%,Mississippi
41,Madison County,-40%,-8%,-53%,-44%,-33%,+27%,Mississippi
42,Marion County,-35%,-12%,,,-15%,,Mississippi
43,Marshall County,-33%,-4%,,,-33%,+5%,Mississippi
44,Monroe County,-56%,+25%,,,-31%,+0%,Mississippi
45,Montgomery County,-58%,-29%,,-38%,-43%,,Mississippi
46,Neshoba County,-33%,-20%,,,-30%,,Mississippi
47,Newton County,-29%,-13%,,,-36%,,Mississippi
48,Noxubee County,-71%,+2%,,,-31%,,Mississippi
49,Oktibbeha County,-48%,-22%,,,-34%,+2%,Mississippi
50,Panola County,-27%,+4%,,-34%,-34%,-3%,Mississippi
51,Pearl River County,-23%,+3%,,-48%,-28%,+18%,Mississippi
52,Perry County,,-21%,-25%,,-44%,,Mississippi
53,Pike County,-29%,-2%,,-35%,-26%,-2%,Mississippi
54,Pontotoc County,-47%,-10%,,,-47%,-1%,Mississippi
55,Prentiss County,-37%,-3%,,,-13%,,Mississippi
56,Quitman County,,,,,-48%,,Mississippi
57,Rankin County,-49%,-3%,-63%,-41%,-28%,+11%,Mississippi
58,Scott County,-42%,-4%,,-39%,-25%,,Mississippi
59,Simpson County,-42%,-9%,,-30%,-17%,,Mississippi
60,Smith County,,-35%,,,-48%,,Mississippi
61,Stone County,-29%,-26%,,,-31%,,Mississippi
62,Sunflower County,-21%,-1%,,-11%,-20%,,Mississippi
63,Tallahatchie County,,+13%,,,-41%,,Mississippi
64,Tate County,-31%,-2%,,+8%,-27%,,Mississippi
65,Tippah County,-35%,-14%,,,-33%,,Mississippi
66,Tishomingo County,-26%,+0%,,,-24%,,Mississippi
67,Tunica County,-50%,-12%,,,-50%,,Mississippi
68,Union County,-42%,-16%,,-32%,-39%,,Mississippi
69,Walthall County,-58%,-11%,,,-35%,,Mississippi
70,Warren County,-32%,-2%,-42%,,-27%,+16%,Mississippi
